1,'platform|courses|course,DEFAULT',
2,'platform|courses|course,DEFAULT|tool,announcement',
3,'platform|courses|course,DEFAULT|tool,backup',
4,'platform|courses|course,DEFAULT|tool,bb_forum',
5,'platform|courses|course,DEFAULT|tool,bb_post',
6,'platform|courses|course,DEFAULT|tool,bb_thread',
7,'platform|courses|course,DEFAULT|tool,calendar_event',
8,'platform|courses|course,DEFAULT|tool,chat',
9,'platform|courses|course,DEFAULT|tool,conference',
10,'platform|courses|course,DEFAULT|tool,copy_course_content',
11,'platform|courses|course,DEFAULT|tool,course_description',
12,'platform|courses|course,DEFAULT|tool,course_homepage',
13,'platform|courses|course,DEFAULT|tool,course_setting',
14,'platform|courses|course,DEFAULT|tool,document',
15,'platform|courses|course,DEFAULT|tool,dropbox',
16,'platform|courses|course,DEFAULT|tool,group',
17,'platform|courses|course,DEFAULT|tool,homepage_link',
18,'platform|courses|course,DEFAULT|tool,learnpath',
19,'platform|courses|course,DEFAULT|tool,link',
20,'platform|courses|course,DEFAULT|tool,quiz',
21,'platform|courses|course,DEFAULT|tool,recycle_course',
22,'platform|courses|course,DEFAULT|tool,student_publication',
23,'platform|courses|course,DEFAULT|tool,tracking',
24,'platform|courses|course,DEFAULT|tool,user',
